wavelength (A),flux density (erg/cm2/s/A)
3938.4885,1.0039E-12
3941.2373,1.3290E-12
3943.9861,1.4849E-12
3946.7349,1.7098E-12
3949.4834,1.8534E-12
3952.2322,1.9717E-12
3954.981,1.9746E-12
3957.7295,1.9063E-12
3960.4783,1.7945E-12
3963.2271,1.4145E-12
3965.9758,1.1051E-12
3968.7244,8.3257E-13
3971.4731,9.5168E-13
3974.2219,1.3199E-12
3976.9705,1.7193E-12
3979.7192,2.0471E-12
3982.468,2.1667E-12
3985.2166,2.2350E-12
3987.9653,2.3027E-12
3990.7139,2.3938E-12
3993.4626,2.4674E-12
3996.2112,2.4481E-12
3998.96,2.4455E-12
4001.7087,2.5269E-12
4004.4573,2.4831E-12
4007.2061,2.3599E-12
4009.9546,2.5248E-12
4012.7034,2.6035E-12
4015.4519,2.6048E-12
4018.2004,2.5902E-12
4020.9492,2.6316E-12
4023.6978,2.6384E-12
4026.4465,2.6495E-12
4029.1951,2.6184E-12
4031.9438,2.4187E-12
4034.6924,2.3934E-12
4037.4409,2.5914E-12
4040.1897,2.6783E-12
4042.9382,2.5619E-12
4045.6868,2.2681E-12
4048.4353,2.3745E-12
4051.1841,2.5603E-12
4053.9326,2.5571E-12
4056.6812,2.4562E-12
4059.4297,2.4416E-12
4062.1782,2.4364E-12
4064.927,2.2625E-12
4067.6755,2.3693E-12
4070.4241,2.4703E-12
4073.1726,2.3757E-12
4075.9211,2.4208E-12
4078.6697,2.3390E-12
4081.4182,2.5150E-12
4084.1667,2.5947E-12
4086.9153,2.6355E-12
4089.6638,2.7637E-12
4092.4124,2.7310E-12
4095.1609,2.6199E-12
4097.9092,2.4586E-12
4100.6577,2.2503E-12
4103.4062,2.1289E-12
4106.1548,2.3919E-12
4108.9033,2.5557E-12
4111.6519,2.6263E-12
4114.4004,2.7114E-12
4117.1489,2.7821E-12
4119.8975,2.7073E-12
4122.6455,2.7024E-12
4125.394,2.7058E-12
4128.1426,2.6377E-12
4130.8911,2.5862E-12
4133.6396,2.5707E-12
4136.3877,2.6710E-12
4139.1362,2.7785E-12
4141.8848,2.7397E-12
4144.6333,2.5311E-12
4147.3813,2.6190E-12
4150.1299,2.6898E-12
4152.8784,2.6634E-12
4155.627,2.5567E-12
4158.375,2.6166E-12
4161.1235,2.7182E-12
4163.8721,2.8006E-12
4166.6201,2.7764E-12
4169.3687,2.6823E-12
4172.1167,2.5873E-12
4174.8652,2.4617E-12
4177.6138,2.5395E-12
4180.3618,2.6060E-12
4183.1104,2.5785E-12
4185.8584,2.5513E-12
4188.6069,2.4841E-12
4191.355,2.6136E-12
4194.1035,2.6876E-12
4196.8516,2.5656E-12
4199.5996,2.4216E-12
4202.3481,2.4412E-12
4205.0962,2.5845E-12
4207.8447,2.7140E-12
4210.5928,2.7456E-12
4213.3408,2.7487E-12
4216.0894,2.6630E-12
